Line Section,Km,Road Name,Type,Vehicular Protection,Signs,Open Status,Responsible Authority
BOX FLAT LOOP,,,,,,,
416,0.54,Ella Street,Public Level,Signs,X T,Open,LGA
416,0.74,Property Access Road,Occupation,Signs,X T,Open,PRI
416,1.28,Property Access Road,Public Level,Signs,X T,Open,PRI
BRISBANE - SYDNEY LINE (1435 gauge),,,,,,,
474,8.48,(on passing loop),QR,Signs,X S,Open,QR
474,9.819,Railway Parade (on siding),Public Level,Signs,X G,Open,LGA
474,9.851,Old Beaudesert Road (on siding),Public Level,Signs,X G,Open,LGA
474,9.935,Old Beaudesert Road,Public Level,Half Boomgates,,Open,LGA
474,11.58,Musgrave Road,Public Level,Half Boomgates,,Open,LGA
CLEVELAND BRANCH,,,,,,,
810,2.91,Cavendish Road,Public Level,Half Boomgates,,Open,LGA
810,3.24,Stanley Street East,Public Level,Half Boomgates,,Open,LGA
810,7.6,Barrack Road,Public Level,Half Boomgates,,Open,LGA
812,9.18,Queensport Road,Public Level,Signs,,Open,QR
812,11.425,,QR,Nil,,Open,QR
812,14.1,Kianawah Road,Public Level,Half Boomgates,,Open,LGA
813,15.72,Wynnum North Road,Public Level,Half Boomgates,,Open,LGA
813,16.41,Glenora Street (Wynnum Road),Public Level,Half Boomgates,,Open,LGA
813,17.45,Florence Street (Ronald Street),Public Level,Half Boomgates,,Open,LGA
813,20.75,Lota Station Pedestrian Access,Pedestrian,,,Open,QR
813,31.75,,QR,,,Open,QR
EBENEZER BRANCH,,,,,,,
543,0.26,Hi-rail Take Off,QR,Nil,,Open,PRI
543,0.56,,Occupation,Nil,,Open,PRI
543,1.95,,Occupation,Nil,,Open,PRI
543,2.09,,Public Level,Signs,,Open,LGA
543,2.87,Property Access Road,Occupation,Signs,X S,Open,PRI
543,3.08,Bremer Road,Public Level,Half Boomgates,,Open,LGA
543,3.84,Coal Haulage Road,Occupation,Half Boomgates,X S,Open,PRI
543,5.382,Lanes Road,Public Level,Signs,X,Open,LGA
543,6.24,Balloon Loop Access Road,Occupation,Signs,X S,Open,PRI
543,6.98,Balloon Loop Road,Occupation,Signs,X S,Open,PRI
FERNY GROVE BRANCH,,,,,,,
527,1.291,Epacras / Le Geyt Street,Pedestrian,,,Open,QR
527,1.785,Windsor Station Pedestrian Access,Pedestrian,Nil,,Open,QR
527,3.97,Wilston Road,Public Level,Half Boomgates,,Open,LGA
527,5.49,South Pine Road,Public Level,Half Boomgates,,Open,LGA
527,7.35,Prospect Road,Public Level,Half Boomgates,,Open,LGA
527,8.15,Osborne Road,Public Level,Half Boomgates,X,Open,LGA
527,8.27,Construction Road (Temporary,QR,Nil,,Proposed,QR
,,Crossing),,,,,
527,8.35,Lutschews Station Pedestrian Access,Pedestrian,Nil,,Open,QR
527,8.45,Blackwood Street,Public Level,Half Boomgates,,Open,LGA
527,8.785,Glenholm Street,Public Level,Half Boomgates,,Open,LGA
527,10.19,Dawson Parade,Public Level,Half Boomgates,PVYB,Open,LGA
527,10.96,Kmart Station Pedestrian Access,Pedestrian,Nil,,Open,QR
527,12.83,Samford Road,Public Level,Half Boomgates,X,Open,LGA
527,13.23,Arbor Street,Public Level,Half Boomgates,,Open,LGA
527,13.358,Ferny Grove Station Pedestrian Access,Pedestrian,Nil,,Open,QR
527,13.525,Ferny Grove Station Pedestrian Access,Pedestrian,Nil,,Open,QR
527,13.815,Station Carpark Access Road,Public Level,Locked Gates,,Open,QR
GOLD COAST LINE (Beenleigh to Robina),,,,,,,
515,40.87,,QR,,,Open,QR
515,52.39,QR Maintenance (blocked with chain,QR,Nil,,Open,QR
,,barriers),,,,,
515,67.7,,QR,,,Open,QR
429,74.37,,QR,,,Open,QR
429,85.12,QR Pedestrian Access,QR,,,Open,QR
429,85.36,QR Pedestrian Access,QR,,,Open,QR
GOLD COAST LINE (Roma St to Beenleigh),,,,,,,
801,0.08,QR Maintenance Access Road,QR,Nil,,Open,QR
801,8.814,QR Maintenance Access Road,QR,Nil,,Open,QR
801,11.65,Old Beaudesert Road,Public Level,Half Boomgates,,Open,LGA
