control,from,to,freight up pass to pass,freight up pass to stop,freight up start to pass,freight up start to stop,freight down pass to pass,freight down pass to stop,freight down start to pass,freight down start to stop,cattle pass to pass,cattle pass to stop,cattle start to pass,cattle start to stop,coal pass to pass,coal pass to stop,coal start to pass,coal start to stop,freight 60k pass to pass,freight 60k pass to stop,freight 60k start to pass,freight 60k start to stop,freight 80k pass to pass,freight 80k pass to stop,freight 80 start to pass,freight 80k start to stop,tilt train up pass to pass,tilt train up pass to stop,tilt train up start to pass,tilt train up start to stop,tilt train down pass to pass,tilt train down pass to stop,tilt train down start to pass,tilt train down start to stop,livestock up pass to pass,livestock down pass to pass
,Alice,Lochnagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16
,Almaden,Gelaro,,,,,,,,,,,,,,,,,,,,,,,,,28,29,30,31,44,45,46,47,,
,Aloomba,Gordonvale,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31
,Amah,Jurema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Brisbane Far West,Amboola,Mungallala,,,,,,,,,23,25,26,28,,,,24,26,27,29,,,,,,,,,,,,,,,
Brisbane Far West,Amboola,Womalilla,,,,,,,,,14,16,17,19,13,15,16,18,13,15,16,18,,,,,,,,,,,,,,
Brisbane Far West,Amby,Bongo,,,,,,,,,5,7,8,10,,,,5,7,8,10,,,,,,,,,,,,,,,
Brisbane Far West,Amby,Muckadilla,,,,,,,,,25,27,28,30,23,25,26,28,23,25,26,28,,,,,,,,,,,,,,
,Aminungo,Kuttabul,9,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anakie,Withersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22
Brisbane Far West,Angellala,Morven,,,,,,,,,,,,,28,30,31,33,28,30,31,33,,,,,,,,,,,,,,
Brisbane Far West,Angellala,Sommariva,,,,,,,,,32,34,35,37,,,,32,34,35,37,,,,,,,,,,,,,,,
,Antill Plains,Woodstock,22,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Arabella,Charleville,,,,,,,,,25,27,28,30,,,,25,27,28,30,,,,,,,,,,,,,,,
Brisbane Far West,Arabella,Sommariva,,,,,,,,,,,,,20,22,23,25,20,22,23,25,,,,,,,,,,,,,,
,Arriga Junction,Dimbulah,50,52,53,55,45,47,48,50,,,,,,,,,,,,,,,,,30,31,32,33,30,31,32,33,,
,Avondale,Littabella,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayr,Kalamia Mill,25,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayr,Pioneer,11,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Babinda,Deeral,17,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baffle,Irkanda,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Baigin,Jandowae,,,,,,,,,,,,,,,,34,36,37,39,,,,,,,,,,,,,,,
Brisbane Far West,Baigin,Tycanba,,,,,,,,,,,,,,,,62,64,65,67,,,,,,,,,,,,,,,
Brisbane Far West,Baining,Macalister,,,,,,,,,,,,,,10,13,14,16,17,19,,,,,,,,,,,,,,,
Brisbane Far West,Baining,Tycanba,,,,,,,,,10,12,13,15,10,12,13,15,10,12,13,15,,,,,,,,,,,,,,
,Balberra,Rosella,6,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balfes Ck,Mungunburra,21,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
