Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,26/06/2018,"$2,464,911.00",AUD,SAP Australia Pty Ltd,168 Walker Street North Sydney NSW 2060,NO,NO,OPEN,,,,,,,CW2267856,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,14/06/2018,"$1,779,860.00",AUD,TSA Management Pty LTtd,207 Kent Street Sydney NSW 2000,YES,NO,OPEN,,,,,,,CW2266366,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/09/2020,"$140,415.44",AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,NO,NO,,,,,,,,4502358389,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/11/2020,"$123,865.02",AUD,UGL Rail,80 Dorcas Street Melbourne VIC 3205,NO,NO,,,,,,,,4502373718,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,18/09/2020,"$54,565.50",AUD,Fleettek Engineering Solutions Pty,10 Bradford Street Alexandria NSW 2015,NO,NO,,,,,,,,4502357506,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,8/09/2020,"$47,975.40",AUD,Fleettek Engineering Solutions Pty,10 Bradford Street Alexandria NSW 2015,NO,NO,,,,,,,,4502353869,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN KSR,24/09/2020,"$47,652.52",AUD,Hanby Welding & Engineering Pty Ltd,PO Box 401 Portsmith QLD 4870,NO,NO,,,,,,,,4502358307,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/10/2020,"$13,983.94",AUD,Austbreck Pty Ltd,36 Westpool Drive Hallam VIC 3803,NO,NO,,,,,,,,4502364673,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Track Construction,1/05/2019,"19,000,000.00",AUD,Civil Mining & Construction,35 Island Plantation Road Maryborough QLD 4650,YES,NO,,,,,,,,CW2275034,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING,1/08/2017,"17,800,000.00",AUD,Sharman Property Services,PO Box 74 Rocklea QLD 4106,YES,NO,,,,,,,,CW2259144,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,12/07/2018,"17,000,000.00",AUD,Georges Loader Hire Pty Ltd,262 Bowhill Road Willawong QLD 4110,YES,NO,OPEN,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,,,CW2265043,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",8/08/2017,"9,584,000.00",AUD,M & G Crushing & Materials Pty Ltd,PO Box 210 Walkamin QLD 4872,YES,NO,,,,,,,,CW2257125,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",WASTE DISPOSAL,31/07/2018,"9,000,000.00",AUD,Remondis Australia Pty Ltd,69 Grindle Road Rocklea QLD 4106,YES,NO,,,,,,,,CW2268426,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,7/06/2017,"8,947,609.50",AUD,Data #3 Limited,67 High Street Toowong QLD 4066,YES,NO,CLOSED,,,,,,,CW2258124,,CW2258121,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,6/06/2017,"7,904,652.00",AUD,Data #3 Limited,67 High Street Toowong QLD 4066,YES,NO,CLOSED,,,,,,,CW2257342,,CW2258121,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Alternate Transport,2/02/2017,"7,500,000.00",AUD,RJ Willey Transport Pty Ltd,PO Box 406 Deeragun QLD 4818,YES,NO,OPEN,,,,,,,CW2253737,,CW2226024,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OpsTrvTrain DEL,21/12/2017,"6,800,000.00",AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,,,,,,,,CW2261256,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,26/07/2018,"6,000,000.00",AUD,Macpherson James Civil Pty Ltd,PO Box 340 Rocklea QLD 4106,YES,NO,OPEN,,,,,,,CW2265109,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,31/08/2018,"6,000,000.00",AUD,JBE Services,PO Box 5107 Brendale QLD 4500,YES,NO,OPEN,,,,,,,CW2269357,,CW2260305,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/08/2018,"5,098,500.00",AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,CW2268642,,CW2257814,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,21/12/2016,"5,000,000.00",AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,YES,NO,CLOSED,,,,,,,CW2252030,,CW2252023,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Civil Works Contract,19/12/2017,"5,000,000.00",AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,,,,,,CW2261208,,CW2258959,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/04/2018,"5,000,000.00",AUD,JWB Construction Pty Ltd,26 BLUE EAGLE DRIVE MEADOWBROOK QLD 4131,YES,NO,OPEN,,,,,,,CW2266410,,CW2262526,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",28/07/2017,"4,958,471.92",AUD,Barro Group Pty Ltd,PO Box 663 Carlton VIC 3053,YES,NO,,,,,,,,CW2257109,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",DESKTOP SOFTWARE,26/06/2018,"4,129,036.60",AUD,SAP Australia Pty Ltd,168 Walker Street North Sydney NSW 2060,YES,NO,,,,,,,,CW2267854,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,30/04/2018,"4,000,000.00",AUD,All Rail Services Pty Ltd,37 Benjul Drive Beenleigh QLD 4207,YES,NO,OPEN,,,,,,,CW2266300,,CW2262526,,,
