Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 - B.05750 -IMU160 SMU260 16-YEAR OVERHAUL,10/03/2021,228298000,AUD,Downer EDI Rail,PO Box 211 Maryborough QLD 4650,YES,NO,LIMITED,Strategic Partnership ,Stand-alone,1,"Acceptance of Work Package Proposal
Pricing as per Strategic Partnership Agreement",Heavy Overhaul of QR rolling stock fleet,As per maintenance schedule,Delivery of overhauls as per Scope of Works and Schedule,CW2291443,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SUPPLY OF TIMBER SLEEPERS AND OTHER TIMBER PRODUCTS - NSC TIMBERS,17/07/2022,16900000,AUD,NSC Timbers Pty Ltd,1380 Rosedale Road Moorland QLD 4670,NO,NO,OPEN,,Member of Panel,Unlimited,"1. Capability & Capacity - 20%
2. Methodology - 10%
3. Quality Management and Safety - 15%
4. Technical Conformance - 15%
5. Pricing - 40%",Supply of Timber Sleeper and Other Timber Products,Not applicable,"All goods provided under this SoW shall meet the required Queensland Rail Guidelines and Standards, Material Supply Specifications, Queensland Government Department of Transport and Main Roads specifications and regulations, other Australian state Department of Transport and Main Roads regulations (where applicable), any relevant Australian Standards and all National Heavy Vehicle Regulator (NVHR) regulations.",CW2301999,,CW2301968,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 SIGNALLING ENGINEERING SERVICES PANEL ARRANGEMENT - JMD RAILTECH ENGINEERING PTY LTD,26/02/2019,8312500,AUD,JMD Railtech Engineering Pty Ltd,"Level 3, 263 Clarence Street Sydney NSW 2000",YES,NO,OPEN,,,,,,,,CW2269813,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","2022 PROVISION OF OEM PARTS, REPAIRS AND OVERHAULS - VOITH",13/07/2022,7000000,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2299117,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2020 CENTRAL STATION RENOVATIONS LIFTS 2 AND 3 EARLY WORKS,28/09/2020,6471000,AUD,BADGE Constructions (Qld) Pty Ltd,63 Oxford Street Bulimba QLD 4171,YES,NO,LIMITED,Not practical to change supplier,,,,,,,CW2279653,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 IMU120-SMU220 COMPONENT CHANGE OUT BRAKE AND PNEUMATIC OVERHAULS - FAIVELEY,22/12/2021,5735919.34,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2301578,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 IMU120-SMU220 COMPONENT CHANGE OUT COUPLER OVERHAULS - VOITH,26/07/2022,3200000,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2301505,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SUPPLY OF TIMBER SLEEPERS AND OTHER TIMBER PRODUCTS - RD CROSS,12/07/2022,3000000,AUD,RD Cross,PO Box 36 Rosedale QLD 4674,NO,NO,OPEN,,,,,,,,CW2301990,,CW2301968,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2019 CROSS RIVER RAIL - EUROPEAN TRAIN CONTROL SYSTEM INTERFACE ADVISORY SERVICES - INTERFACE RAIL ENGINEERING,14/10/2019,1594300,AUD,Interface Rail Engineering Pty Ltd,470 Collins Street Melbourne VIC 3000,YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2277587,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2017 IMAGERY AND LIDAR CAPTURE SERVICES,10/04/2018,1300000,AUD,Altavec,32-38 Cromwell St Collingwood VIC 3066,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2302546,,,,,
